Rank_R2,R2,MAE,MAPE,mean_fit_time,subsample,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate
1,0.9749902956275656,570216.1127077405,5.508336875961905,25.51156783103943,0.8,31,500,20,10,0.05
2,0.9748881885802693,572706.9686600295,5.520949810953899,25.66650390625,0.8,31,500,20,-1,0.05
3,0.9748876828794594,572632.3939348923,5.5209273822251035,25.863282362620037,0.8,31,500,20,15,0.05
4,0.9746242576774953,577249.6450846094,5.477536639363625,46.12689280509949,1.0,63,1000,20,-1,0.01
5,0.9742201645112073,581995.2855644578,5.636661145262468,69.5840695699056,0.8,127,1500,20,15,0.05
6,0.9739906407741011,600039.1832015071,5.738614938358222,26.287861824035645,1.0,63,500,20,-1,0.1
7,0.9736981628059546,603326.1555490348,5.763372552773133,67.02958138783772,0.8,63,1500,20,10,0.1
8,0.964481538944041,813740.3933209678,7.982449081851899,13.816356976826986,0.8,31,500,50,-1,0.05
9,0.9641067430584761,811301.961267454,8.081036843426176,22.421865622202557,1.0,127,1000,50,-1,0.05
10,0.9641049972240255,811422.3758762736,8.082158104391121,22.053126335144043,0.8,31,1000,50,-1,0.05
